pitch_angle,pitch_target,pitch_speed,pitch_speed_target,pitch_output,pitch_angle_kp,pitch_angle_ki,pitch_angle_kd,pitch_speed_kp,pitch_speed_ki,pitch_speed_kd,pitch_ff_output,yaw_ff_output
0.86,0.00,0.00,-61.98,-1191.33,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-61.97,-1191.56,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-61.98,-1191.95,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-61.98,-1192.30,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-61.98,-1192.65,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-61.99,-1193.03,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.00,-1193.47,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.01,-1193.85,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.02,-1194.28,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.03,-1194.70,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.05,-1195.17,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.07,-1195.76,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.08,-1196.16,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.87,0.00,0.00,-62.09,-1196.55,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.07,-1196.61,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.07,-1196.97,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.08,-1197.35,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.06,-1197.47,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.07,-1197.90,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.08,-1198.29,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.09,-1198.70,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
